,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PTCH1 (M)
ARID1A (M),-2.14,-0.0,0.0,0.71,0.0
ARID1B (M),1.63,-3.71,0.23,0.1,-0.0
KMT2A (M),1.28,-0.0,-3.56,-0.55,1.65
KMT2C (M),0.0,0.01,1.31,-3.07,-0.0
PTCH1 (M),1.32,0.86,-0.47,1.37,-3.75
