,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),RNF43 (M)
ARID1A (M),-2.12,0.01,0.0,0.43,0.0
ARID1B (M),1.16,-3.81,-0.0,-0.0,1.18
KMT2A (M),0.84,-0.0,-3.87,0.0,2.01
KMT2C (M),0.0,-0.0,0.0,-3.25,1.5
RNF43 (M),1.73,-0.0,0.0,0.0,-2.46
