,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),AXIN2 (M)
ARID1A (M),-2.11,0.0,-0.0,0.0,0.41
ARID1B (M),1.67,-3.7,0.0,0.0,-0.0
KMT2A (M),1.48,0.3,-3.57,0.67,-0.0
KMT2C (M),0.73,0.01,0.0,-3.17,1.28
AXIN2 (M),-0.0,-0.0,1.4,-0.0,-3.32
