,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),POLE (M)
ARID1A (M),-2.13,0.0,-0.0,-0.0,0.93
ARID1B (M),1.67,-3.7,0.0,0.01,0.0
KMT2A (M),1.46,0.23,-3.57,0.78,-0.0
KMT2C (M),0.8,0.01,0.0,-3.1,-0.0
POLE (M),-0.0,-0.0,1.08,1.3,-3.79
