,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),MAPK3/16p (Amp)
ARID1A (M),-1.89,0.0,0.0,0.0,-1.17
ARID1B (M),1.56,-3.47,0.01,0.0,-1.31
KMT2A (M),1.4,0.03,-3.32,0.66,-1.51
KMT2C (M),0.71,0.0,0.0,-2.87,-1.45
MAPK3/16p (Amp),-1.66,-1.01,-0.9,-0.92,-0.91
