,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),CARD11 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.71,0.0,0.0,0.3
KMT2A (M),1.48,0.17,-3.57,0.79,0.0
KMT2C (M),0.83,0.0,0.0,-3.1,-0.0
CARD11 (M),1.14,0.0,0.32,-0.0,-3.56
