,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),B2M (M)
ARID1A (M),-2.14,-0.0,0.0,0.72,-0.01
ARID1B (M),1.51,-3.73,0.01,0.0,0.85
KMT2A (M),1.35,0.0,-3.58,0.77,0.63
KMT2C (M),-0.0,0.0,0.0,-3.07,1.24
B2M (M),1.79,0.0,0.0,-0.0,-3.44
