,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),BCOR (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.64,-3.69,0.0,0.0,-0.01
KMT2A (M),1.44,0.31,-3.58,0.71,0.3
KMT2C (M),0.84,0.02,0.0,-3.11,0.0
BCOR (M),1.51,-0.01,0.0,0.34,-3.47
