,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),FBXW7 (M)
ARID1A (M),-2.11,0.0,0.0,0.0,0.09
ARID1B (M),1.64,-3.71,0.25,0.0,-0.0
KMT2A (M),1.52,0.0,-3.56,0.79,-0.1
KMT2C (M),0.85,0.01,0.0,-3.11,-0.0
FBXW7 (M),-0.0,-0.0,-0.0,-0.46,-1.8
