,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),null
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.68,-3.7,0.0,0.0,0.0
KMT2A (M),1.49,0.19,-3.57,0.77,0.0
KMT2C (M),0.84,0.01,0.0,-3.11,0.0
null,0.0,0.0,0.0,0.0,0.0
