,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),FLT3/13q (Amp)
ARID1A (M),-1.43,-0.0,0.0,0.0,-1.89
ARID1B (M),1.28,-3.02,0.0,0.0,-1.79
KMT2A (M),1.06,0.0,-2.8,0.39,-2.05
KMT2C (M),0.24,0.0,0.0,-2.38,-1.89
FLT3/13q (Amp),-1.65,-0.99,-1.57,-1.67,0.43
