,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SMARCA4 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.48,-3.79,0.28,0.0,1.35
KMT2A (M),1.48,0.0,-3.57,0.82,0.0
KMT2C (M),0.83,0.0,0.0,-3.1,0.0
SMARCA4 (M),0.99,0.0,0.0,1.14,-3.4
