,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),ARID1A/1p (Del)
ARID1A (M),-1.83,0.0,0.0,0.0,-1.63
ARID1B (M),1.45,-3.38,0.0,0.0,-2.1
KMT2A (M),1.31,0.01,-3.24,0.61,-2.22
KMT2C (M),0.6,0.0,0.0,-2.82,-1.62
ARID1A/1p (Del),-1.6,-1.9,-1.67,-1.55,-0.79
