,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),CTNNB1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.01
ARID1B (M),1.65,-3.7,0.2,0.0,0.0
KMT2A (M),1.53,0.01,-3.55,0.81,-0.38
KMT2C (M),0.84,0.0,0.0,-3.11,-0.01
CTNNB1 (M),0.05,-0.0,-0.34,-0.01,-2.49
