,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SOX9 (M)
ARID1A (M),-2.15,-0.0,0.0,0.0,0.42
ARID1B (M),1.63,-3.7,0.3,0.01,-0.0
KMT2A (M),1.62,0.0,-3.51,0.86,-1.07
KMT2C (M),0.83,0.01,0.0,-3.1,-0.0
SOX9 (M),-0.01,0.0,-0.0,-0.51,-1.98
