,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PTEN (M)
ARID1A (M),-2.14,-0.0,0.0,0.0,0.65
ARID1B (M),1.66,-3.69,0.0,0.0,0.0
KMT2A (M),1.47,0.21,-3.57,0.8,0.0
KMT2C (M),0.8,0.01,0.0,-3.1,0.0
PTEN (M),0.0,0.0,0.0,0.39,-2.76
