,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),B2M/15q (Del)
ARID1A (M),-1.89,0.0,0.0,0.0,-1.21
ARID1B (M),1.53,-3.42,0.0,0.0,-1.91
KMT2A (M),1.41,0.01,-3.31,0.66,-1.64
KMT2C (M),0.69,0.0,0.0,-2.86,-1.38
B2M/15q (Del),-1.42,-1.64,-1.05,-1.35,-0.87
