,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PIK3CA (M)
ARID1A (M),-2.06,0.0,0.0,0.0,-0.18
ARID1B (M),1.69,-3.7,0.0,0.0,-0.0
KMT2A (M),1.51,0.19,-3.58,0.8,-0.0
KMT2C (M),0.87,0.01,0.0,-3.11,-0.01
PIK3CA (M),-0.27,-0.11,-0.01,-0.03,-1.19
