,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),KDM5A (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.7,0.17,0.0,0.0
KMT2A (M),1.5,0.0,-3.57,0.76,-0.0
KMT2C (M),0.85,0.0,0.0,-3.11,0.0
KDM5A (M),0.88,0.37,1.29,0.0,-3.85
