,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),RAC1/7p (Amp)
ARID1A (M),-1.69,0.0,0.0,0.0,-1.31
ARID1B (M),1.4,-3.19,0.0,-0.0,-1.78
KMT2A (M),1.34,0.0,-3.08,0.0,-1.4
KMT2C (M),0.48,0.0,0.67,-2.65,-1.72
RAC1/7p (Amp),-1.9,-1.2,-1.8,-0.71,-0.04
