,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),CREBBP (M)
ARID1A (M),-2.1,-0.0,0.0,0.0,-0.0
ARID1B (M),1.67,-3.7,0.01,0.01,0.01
KMT2A (M),1.32,0.08,-3.63,0.77,0.99
KMT2C (M),0.78,0.0,0.0,-3.1,0.14
CREBBP (M),1.53,0.0,0.0,0.0,-3.27
