,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),FBXW7/4q (Del)
ARID1A (M),-1.83,0.0,-0.0,0.0,-1.71
ARID1B (M),1.47,-3.42,0.01,0.0,-1.61
KMT2A (M),1.39,0.04,-3.24,0.0,-1.69
KMT2C (M),0.57,0.0,0.79,-2.93,-1.02
FBXW7/4q (Del),-1.76,-1.35,-1.35,-0.63,-0.8
