,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),EP300 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.63,-3.7,0.23,0.01,-0.0
KMT2A (M),1.49,0.0,-3.57,0.77,0.0
KMT2C (M),0.83,0.01,0.0,-3.1,0.0
EP300 (M),1.35,-0.0,0.55,0.56,-3.44
