,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),MSH6 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.69,0.0,0.0,-0.0
KMT2A (M),1.45,0.29,-3.57,0.73,-0.0
KMT2C (M),0.54,0.0,-0.0,-3.15,1.22
MSH6 (M),1.88,-0.0,1.17,-0.0,-3.69
