,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),TP53 (M)
ARID1A (M),-1.19,0.0,0.0,0.0,-1.7
ARID1B (M),1.29,-2.85,0.0,0.0,-1.45
KMT2A (M),1.05,0.0,-2.61,0.49,-1.62
KMT2C (M),0.38,0.0,0.0,-2.32,-1.26
TP53 (M),-1.98,-1.45,-2.25,-1.99,1.18
