,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SETD2 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.71,0.0,0.0,0.29
KMT2A (M),1.44,0.11,-3.6,0.76,0.82
KMT2C (M),0.84,0.0,0.0,-3.1,0.0
SETD2 (M),0.96,0.0,0.0,0.26,-3.61
