,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),TP53/17p (Del)
ARID1A (M),-1.69,0.0,0.0,0.01,-1.47
ARID1B (M),1.32,-3.17,0.0,0.0,-2.34
KMT2A (M),1.19,0.0,-3.03,0.52,-2.38
KMT2C (M),0.44,0.0,0.0,-2.63,-1.69
TP53/17p (Del),-2.26,-1.36,-1.43,-1.41,-0.14
