,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),NCOR1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.66,-3.69,0.0,0.0,-0.02
KMT2A (M),1.42,0.33,-3.59,0.68,0.71
KMT2C (M),0.83,0.04,0.0,-3.11,0.0
NCOR1 (M),1.35,-0.03,0.0,0.97,-3.89
