,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),NOTCH1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.59,-3.72,0.0,0.0,0.63
KMT2A (M),1.42,0.25,-3.63,0.57,1.18
KMT2C (M),0.79,0.0,0.0,-3.15,0.91
NOTCH1 (M),0.61,0.0,0.0,0.0,-3.33
