,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SMAD4/18q (Del)
ARID1A (M),-1.29,0.0,0.0,0.0,-1.96
ARID1B (M),0.89,-2.69,-0.0,-0.0,-2.76
KMT2A (M),0.79,-0.0,-2.55,0.28,-2.6
KMT2C (M),0.0,-0.0,0.0,-2.2,-2.08
SMAD4/18q (Del),-2.47,-1.75,-1.77,-1.89,0.76
