,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PTPRS (M)
ARID1A (M),-2.28,0.0,0.0,0.41,1.39
ARID1B (M),1.64,-3.69,0.0,0.0,-0.0
KMT2A (M),1.17,0.24,-3.6,-0.0,1.15
KMT2C (M),0.0,0.17,0.73,-3.12,0.85
PTPRS (M),0.0,-0.0,-0.0,0.0,-2.47
