,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SPEN (M)
ARID1A (M),-2.14,0.0,0.0,1.0,-0.68
ARID1B (M),1.5,-3.74,0.0,0.0,1.09
KMT2A (M),1.31,0.0,-3.61,0.63,1.19
KMT2C (M),-0.34,0.0,0.0,-3.09,1.79
SPEN (M),1.7,-0.0,-0.0,-0.0,-3.53
