,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),SMAD4 (M)
ARID1A (M),-2.02,0.0,0.0,0.0,-0.93
ARID1B (M),1.66,-3.62,0.0,0.0,-0.99
KMT2A (M),1.49,0.11,-3.48,0.73,-1.13
KMT2C (M),0.82,0.0,0.0,-3.02,-1.07
SMAD4 (M),-0.81,-0.89,-1.01,-1.14,-1.83
