,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PIK3R1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.71,0.21,0.0,0.0
KMT2A (M),1.51,0.0,-3.57,0.8,-0.06
KMT2C (M),0.85,0.01,0.0,-3.1,-0.16
PIK3R1 (M),-0.0,0.0,-0.0,-0.2,-3.16
