,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),BRCA2 (M)
ARID1A (M),-2.1,-0.0,0.0,0.0,0.0
ARID1B (M),1.66,-3.71,0.01,0.01,0.26
KMT2A (M),1.43,0.06,-3.6,0.87,0.62
KMT2C (M),0.87,0.01,0.0,-3.09,-0.49
BRCA2 (M),1.43,0.0,0.0,-0.47,-3.61
