,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),KMT2D (M)
ARID1A (M),-2.16,0.0,1.23,0.0,-0.0
ARID1B (M),1.26,-3.74,0.02,-0.0,0.89
KMT2A (M),-0.0,0.0,-3.54,0.16,1.8
KMT2C (M),0.13,-0.0,0.0,-3.27,1.63
KMT2D (M),1.99,-0.0,-0.0,0.0,-2.73
