,T0,T1,T2,A_1
T0,-0.85,-0.24,0.24,-0.39
T1,-0.16,-1.63,-0.0,0.0
T2,0.0,0.6,-2.02,-0.48
A_1,-0.0,-0.59,-0.0,-2.22
