,T0,T1,T2,C_1
T0,-0.81,-0.38,0.34,-0.91
T1,0.0,-1.73,0.0,0.49
T2,-0.0,0.51,-2.03,-0.0
C_1,-0.12,0.0,-0.13,-1.93
