,T0,T1,T2,E_2
T0,-0.68,-1.4,0.18,-0.0
T1,-0.46,-2.05,-0.0,-0.15
T2,0.05,1.53,-2.08,-0.28
E_2,-0.07,-0.1,-0.25,-2.21
