,T0,T1,T2,D_0
T0,-0.7,-1.36,0.23,0.15
T1,-0.59,-2.1,0.0,0.63
T2,-0.0,1.54,-2.06,-0.23
D_0,0.0,0.51,-0.0,-2.21
