,T0,T1,T2,C_2
T0,-0.65,-1.27,0.26,-0.56
T1,-0.52,-2.05,-0.0,0.0
T2,-0.01,1.51,-2.09,0.03
C_2,0.0,-0.04,0.0,-1.79
