,T0,T1,T2,A_0
T0,-0.68,-1.64,0.01,0.22
T1,-0.32,-2.08,-0.0,-0.31
T2,0.25,1.53,-2.11,-0.89
A_0,-0.0,-0.46,-0.25,-2.26
