,T0,T1,T2,B_0
T0,-0.69,-1.37,0.23,-0.0
T1,-0.54,-2.09,0.0,0.37
T2,0.0,1.53,-2.06,-0.22
B_0,0.0,-0.2,-0.17,-1.83
