,T0,T1,T2,B_0
T0,-0.92,-1.0,0.11,0.04
T1,-0.0,-1.88,0.0,0.0
T2,-0.0,0.93,-2.0,-0.36
B_0,0.0,0.45,-0.22,-1.68
