,T0,T1,T2,D_0
T0,-0.92,-1.0,0.06,-0.0
T1,-0.0,-1.88,0.0,0.0
T2,0.0,0.88,-2.04,-0.0
D_0,-0.27,1.16,-0.1,-1.46
