,T0,T1,T2,C_2
T0,-0.91,-0.96,0.0,-0.0
T1,-0.0,-1.83,-0.0,-0.55
T2,0.0,0.92,-2.07,0.22
C_2,-0.61,-0.0,0.0,-1.83
