,T0,T1,T2,A_1
T0,-0.93,-0.76,0.03,0.0
T1,-0.08,-1.85,0.0,-0.13
T2,0.0,0.93,-2.03,-0.22
A_1,0.0,-0.13,-0.59,-2.05
