,T0,T1,T2,D_0
T0,-0.78,-1.71,0.04,0.4
T1,-0.01,-2.08,-0.16,0.71
T2,0.28,0.61,-2.2,-0.15
D_0,-0.0,0.6,0.08,-1.28
