,T0,T1,T2,E_2
T0,-0.84,-0.87,0.44,0.61
T1,-0.24,-1.88,-0.01,0.22
T2,-0.31,0.57,-2.13,0.58
E_2,-0.85,-0.6,0.06,-1.93
