,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),BCL2/18q (Del)
TP53 (M),0.56,-0.0,-3.23,-3.7,0.0
MCL1/1q (Amp),-0.92,0.23,-3.34,-1.1,0.06
TERT/5p (Amp),0.4,0.96,-0.83,-1.08,-0.03
KRAS (M),-0.54,-0.45,-1.96,0.08,-0.12
BCL2/18q (Del),-1.12,-0.98,-1.17,-3.41,0.11
