,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),EPHA7/6q (Del)
TP53 (M),0.73,-0.0,-3.46,-2.1,-2.54
MCL1/1q (Amp),-0.62,-0.0,-2.37,-0.2,-0.32
TERT/5p (Amp),0.42,0.99,-0.76,-0.63,-1.17
KRAS (M),-0.84,-2.35,-3.85,0.54,-3.03
EPHA7/6q (Del),-0.29,-0.25,-0.47,0.14,-0.8
