,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),MYC/8q (Amp)
TP53 (M),0.67,-0.28,-3.63,-2.36,-0.86
MCL1/1q (Amp),-0.48,-0.02,-2.64,-0.43,0.0
TERT/5p (Amp),0.5,0.93,-0.89,-0.67,-0.35
KRAS (M),-0.66,-1.31,-3.55,0.4,-1.95
MYC/8q (Amp),-0.0,0.25,-0.0,-0.22,-0.82
