,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),CH
TP53 (M),0.84,-0.29,-3.91,-3.03,-3.41
MCL1/1q (Amp),-0.49,0.19,-2.57,-0.43,-1.72
TERT/5p (Amp),0.47,0.89,-0.77,-0.67,-0.99
KRAS (M),-0.55,-1.21,-3.39,0.38,-1.49
CH,-0.13,-0.08,-0.9,-0.06,-0.84
