,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),KMT2D (M)
TP53 (M),0.55,-0.1,-3.63,-2.54,-0.01
MCL1/1q (Amp),-0.83,0.19,-3.33,-0.9,-0.0
TERT/5p (Amp),0.47,0.93,-0.93,-0.73,-0.25
KRAS (M),-0.74,-0.63,-3.42,0.21,-0.84
KMT2D (M),-0.0,-0.67,-0.69,-0.68,-2.9
