,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),ARID2 (M)
TP53 (M),0.62,-0.48,-3.87,-2.49,0.0
MCL1/1q (Amp),-0.4,-0.05,-2.42,-0.37,-1.24
TERT/5p (Amp),0.48,0.85,-0.91,-0.69,0.0
KRAS (M),-0.73,-1.72,-3.72,0.3,0.0
ARID2 (M),0.21,-0.0,-1.48,-1.31,-2.92
