,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),CREBBP (M)
FAT1 (M),-2.49,-0.56,-0.0,-0.29,2.22
APC (M),-2.31,1.28,-2.6,-2.7,-2.27
TGFBR2 (M),0.53,-1.41,-1.79,-1.47,-0.0
SMAD4 (M),-0.94,-0.69,-1.07,-1.45,-0.28
CREBBP (M),-0.0,-0.53,0.93,-0.83,-2.23
