,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),MYC/8q (Amp)
FAT1 (M),-1.65,-0.93,0.58,-0.84,-1.18
APC (M),-1.53,1.41,-2.17,-2.18,-0.72
TGFBR2 (M),0.0,-1.6,-1.3,-1.45,-1.66
SMAD4 (M),-0.49,-0.74,-1.29,-1.09,-1.36
MYC/8q (Amp),-1.42,-1.25,-1.44,-0.65,0.5
