,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),NOTCH3 (M)
FAT1 (M),-1.93,-0.89,0.0,-0.88,-0.0
APC (M),-1.44,1.27,-2.22,-2.15,-2.65
TGFBR2 (M),0.61,-1.55,-1.82,-1.26,0.7
SMAD4 (M),-0.23,-0.9,-1.35,-1.34,-0.77
NOTCH3 (M),2.06,-0.96,-0.0,-0.36,-2.37
