,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),null
FAT1 (M),-2.1,-0.75,0.78,-0.56,0.0
APC (M),-2.01,1.23,-2.33,-2.18,0.0
TGFBR2 (M),0.0,-1.61,-1.67,-1.4,0.0
SMAD4 (M),-0.67,-0.89,-1.27,-1.35,0.0
null,0.0,0.0,0.0,0.0,0.0
