,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),FLT3/13q (Amp)
FAT1 (M),-1.18,-1.69,0.1,-0.93,-1.66
APC (M),-0.62,1.15,-1.62,-1.36,-0.0
TGFBR2 (M),0.0,-1.9,-1.11,-1.46,-2.22
SMAD4 (M),-0.58,-1.2,-1.57,-0.84,-1.04
FLT3/13q (Amp),-1.86,-1.2,-2.43,-1.11,0.88
