,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),PTPRS (M)
FAT1 (M),-2.1,-0.72,0.66,-0.61,-0.0
APC (M),-1.69,1.29,-2.45,-2.34,-2.38
TGFBR2 (M),-0.0,-1.4,-1.89,-1.2,0.93
SMAD4 (M),-0.42,-0.81,-1.35,-1.37,-0.71
PTPRS (M),1.62,-0.82,-0.0,-0.25,-1.89
