,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),FBXW7 (M)
FAT1 (M),-2.33,-0.59,0.63,-0.36,0.76
APC (M),-2.44,1.33,-2.83,-2.57,-2.37
TGFBR2 (M),0.0,-1.36,-1.83,-1.26,0.39
SMAD4 (M),-0.71,-0.71,-1.21,-1.38,-0.79
FBXW7 (M),0.0,-0.1,0.0,-0.95,-1.58
