,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),KMT2C (M)
FAT1 (M),-2.3,-0.73,-0.98,-0.34,2.19
APC (M),-2.12,1.26,-2.49,-2.7,-2.07
TGFBR2 (M),1.25,-1.42,-1.84,-1.57,-0.79
SMAD4 (M),-0.97,-0.69,-1.01,-1.47,-0.01
KMT2C (M),-0.92,-0.29,1.33,-1.09,-2.41
