,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),RAC1/7p (Amp)
FAT1 (M),-1.78,-0.61,0.62,-0.57,-1.64
APC (M),-1.77,1.35,-2.18,-1.91,-0.71
TGFBR2 (M),0.0,-1.45,-1.44,-1.36,-1.35
SMAD4 (M),-0.76,-0.79,-1.35,-1.12,-1.0
RAC1/7p (Amp),-1.22,-0.25,-1.31,-0.9,-0.0
